shona,luo
"Isaka akanga ari kusango panguva yemanheru achidzamisa pfungwa. Paakasimudza musoro, akabva aona kuti kwaiva nengamera dzaiuya!","Noyudo Isaka wuotho e pap godhiambo ka piny dwaro yuso mondo opar matut. To ka noting’o wang’e malo, ne opo koneno ngamia moko ka biro."
"Ribheka paakasimudza musoro, akaona Isaka, akakurumidza kuburuka pangamera.","Rebeka bende ne oneno Isaka, eka ne olor mapiyo e wi ngamia."
Akabva abvunza muranda wacho kuti: “Murume uyo ari musango ari kuuya kuzosangana nesu ndiani?” Muranda wacho akati: “Nditenzi wangu.” Saka akatora jira remumusoro akazvifukidza.,Rebeka ne openjo jatichno niya: “Macha ng’a ma wuotho e pap ka biro romonwa?” Jatichno ne odwoke niya: “Macha ruodha.” Eka Rebeka ne okawo nanga mi oumogo wiye.
Uye muranda wacho akaudza Isaka zvese zvaakanga aita.,Jatichno ne onyiso Isaka gik moko duto ma ne osetimore.
"Pashure paizvozvo Isaka akamupinza mutende raSara amai vake. Saka akatora Ribheka, akava mudzimai wake; akamuda, uye Isaka akanyaradzwa pakufirwa kwaakanga aitwa naamai vake.","Eka Isaka ne otero Rebeka e hemb Sara min-gi. Mi ne okawe mi obedo chiege, kendo ne ohere ahinya. Kendo Isaka ne oyudo hoch bang’ tho min mare."
Abrahamu akazotorazve mumwe mudzimai ainzi Ketura.,Ibrahim ne ochako okendo dhako miluongo ni Ketura.
"Nekufamba kwenguva, akamuberekera Zimrani, Jokshani, Medhani, Midhiyani, Ishbhaki, naShuwa.","Dhakono ne onyuolone Zimran, Jokshan, Medan, Midian, Ishbak, kod Shua."
"Jokshani akabereka Shebha naDhedhani. Vanakomana vaDhedhani vaiva Ashurimu, Retushimu, naReumimu.","Jokshan ne onyuolo Sheba gi Dedan. Dedan ne onyuolo Ashurim, Letushim, kod Leumim."
"Vanakomana vaMidhiyani vaiva Efa, Eferi, Hanoki, Abhidha, naEridhaa. Vese ava vaiva vanakomana vaKetura.","Yawuot Midian ne gin Efa, Efer, Hanok, Abida, kod Eldaa. Jogo duto ne gin yawuot Ketura."
"Abrahamu akazopa Isaka zvinhu zvese zvaakanga ainazvo,","Bang’e, Ibrahim ne omiyo Isaka mwandune duto,"
"asi vanakomana vaakaita nevarongo vake akavapa zvipo. Paakanga achiri mupenyu, Abrahamu akabva avaendesa nechekumabvazuva, kure naIsaka mwanakomana wake, kunyika yeMabvazuva.","kendo ka pok otho nopogo ne yawuot monde mamokogo duto mich, kae to ne odarogi mondo kik gidag machiegni gi Isaka wuode. Mi ne gidhi dak e piny man yo wuok chieng’."
Abrahamu akararama makore 175.,Ibrahim nodak higni 175.
"Abrahamu akafema kekupedzisira, akafa anyatsokura, akwegura uye agutsikana, akaiswa kwakaiswa vanhu vekwake.","Ne otho koti kendo hike noseniang’ maber, mi ne oyike gi kwerene."
"Vanakomana vake Isaka naIshmaeri vakamuviga mubako reMakapera mumunda waEfroni mwanakomana waZohari muHiti, uri pakatarisana neMamre,","Kendo yawuote ma Isaka kod Ishmael ne oyike e rogo man Makpela, e puoth Efron wuod Zohar ma Ja-Hiti. Puodhono ne ni machiegni gi Mamre."
munda wakatengwa naAbrahamu kuvanakomana vaHeti. Imomo ndimo makavigwa Abrahamu uye mudzimai wake Sara.,"Mano e puodho ma yawuot Heth ne ouso ne Ibrahim, kendo kanyo e ma ne oyikie Ibrahim kod Sara."
"Abrahamu afa, Mwari akaramba achikomborera Isaka mwanakomana wake, uye Isaka akanga achigara pedyo neBheeri-rahai-roi.","Bang’ tho Ibrahim, Nyasaye ne odhi nyime guedho Isaka wuode ma nodak machiegni gi Beer-lahai-roi."
"Iyi ndiyo nhoroondo yaIshmaeri mwanakomana waAbrahamu waakaberekerwa naHagari muIjipiti, muranda waSara.","Magi e joka Ishmael wuod Ibrahim, ma Hagar Nya-Misri kendo jatich Sara ne onyuolo ne Ibrahim."
"Aya ndiwo mazita evanakomana vaIshmaeri, mazita avo maererano nematangiro akaita mhuri dzavo: Dangwe raIshmaeri raiva Nebhayoti, kwouya Kedhari, Adbheeri, Mibsamu,","Koro magi e nyinge yawuot Ishmael kaluwore gi anyuolagi: Wuod Ishmael makayo ne en Nebayoth, eka Kedar, Abdeel, Mibsam,"
"Mishma, Dhuma, Masa,","Mishma, Duma, Masa,"
"Hadhadhi, Tema, Jeturi, Nafishi, naKedhema.","Hadad, Tema, Jetur, Nafish, kod Kedema."
"Ava ndivo vanakomana vaIshmaeri, uye aya ndiwo mazita avo maererano nemisha yavo uye maererano nenzvimbo dzavaigara mumatende, machinda 12 maererano nemadzinza avo.","Mago e yawuot Ishmael, kendo gin e jodongo 12 ma notelo ne dhoutegi. Kuonde ma ne gibworoe kaachiel gi mier ma ne gigero ne ochak nyingegi."
"Ishmaeri akararama makore 137. Akafema kekupedzisira, akafa uye akaiswa kwakaiswa vanhu vekwake.",Ishmael nodak higni 137 kae to ne otho mi oyike mana kaka kwerene.
"Vakagara kubvira paHavhira pedyo neShuri, iri pedyo neIjipiti, kusvikira kuAsiriya. Akagara pedyo nehama dzake dzese.","Nyikwaye nodak chakre Havila nyaka Asuria. Havila ne ni machiegni gi Shur, kendo Shur ne ni but Misri. Ne gidak machiegni gi owetegi."
Iyi ndiyo nhoroondo yaIsaka mwanakomana waAbrahamu. Abrahamu akabereka Isaka.,Ma e sigand Isaka wuod Ibrahim. Ibrahim nonyuolo Isaka.
"Isaka akanga ava nemakore 40 paakaroora Ribheka, mwanasikana waBhetueri muAramu wekuPadhani-aramu, hanzvadzi yaRabhani muAramu.",Isaka ne en jahigni 40 ka ne okendo Rebeka nyar Bethuel. Bethuel ne en Ja-Aram ma nodak e piny Padan-aram. Rebeka ne en nyamin Laban Ja-Aram.
"Uye Isaka aigara achiteterera Jehovha nezvemudzimai wake, nekuti akanga asina mbereko; saka Jehovha akanzwa kuchema kwake, uye Ribheka mudzimai wake akabata pamuviri.","Isaka ne siko ka kwayo Jehova mondo chiege oyud nyathi, nimar ne ok onyal nyuol. Omiyo, Jehova nowinjo kwayone mi Rebeka nomako ich."
"Vanakomana vaiva mudumbu make vakatanga kurwisana, zvekuti akati: “Kana zviri izvo zvazvinoita, ndicharamba ndichiraramirei?” Saka akabvunza Jehovha nezvazvo.","Ka ne Rebeka owinjo ka nyithindo chapni e iye, nowacho niya: “Kare ka en mana kama, be nitie tiende dhi nyime bedo mangima?” Omiyo, nodhi penjo Jehova tiend wachno."
"Uye Jehovha akati kwaari: “Mudumbu mako mune marudzi maviri, uye marudzi maviri achaparadzaniswa achibva mauri; rumwe rudzi ruchava nesimba kupfuura rumwe, uye mukuru achashandira mudiki.”","To Jehova nowachone kama: “Ogendni ariyo nie iyi, to ogendnigo biro pogore. Achiel nobed ratego moloyo wadgi kendo maduong’ biro tiyo ne matin.”"
"Pakazosvika nguva yekuti asununguke, akabva aona kuti zvechokwadi aiva nemapatya mudumbu make!","Ka ne Rebeka dwa nyuol, ne oyud ni kare noting’o rude."
"Wekutanga akabva abuda akatsvuka muviri wese uye akaita senguo yemvere, saka vakamutumidza kuti Isau.","Wuoyi ma ne okwong nyuol ne kwar kendo dende ne chalo gi nanga ma rayier, omiyo ne gichake ni Esau."
"Munin’ina wake akazobuda uye ruoko rwake rwakanga rwakabata chitsitsinho chaIsau, saka akamutumidza kuti Jakobho. Pavakaberekwa, Isaka akanga ava nemakore 60.","Eka owadgi Esau nowuok ka lwete omako ofunj tiend Esau, mi ne ochake ni Jakobo. Isaka nonyuolo yawuotego ka en jahigni 60."
"Vakomana vacho pavaikura, Isau akava hombarume, murume wesango, asi Jakobho aiva murume asina chaanopomerwa, aigara mumatende.","Ka ne gibedo jo ma dongo, Esau nobedo jadwar molony kendo kinde mang’eny nojadhi dwar, Jakobo to nohero bet e hembe, kendo ne en ng’at makare."
"Isaka aida Isau nekuti aigara achimuvigira nyama yemhuka, asi Ribheka aida Jakobho.","Isaka nohero Esau nikech Esau ne kelone ring’o koa dwar, Rebeka to nohero Jakobo."
Mumwe musi Jakobho akanga achibika zvekudya pakasvika Isau achibva kusango aneta.,"Chieng’ moro ka ne Jakobo tedo dengu, Esau nobiro ire koa dwar ka ool ahinya."
"Saka Isau akati kuna Jakobho: “Kurumidza kundipawo zvekudya zvako zvakatsvukirira izvo, ndafa nenzara!” Ndokusaka akanzi Edhomu.","Omiyo, nowacho ne Jakobo niya: “Aol kendo kech nega, miyae dengu makwarno mondo acham!” Mano e momiyo nochak Esau ni Edom."
Jakobho akapindura kuti: “Tanga wanditengesera kodzero yako yeudangwe!”,To Jakobo nodwoke niya: “Abiro miyi mana ka iyiena kawo kari kaka wuoyi makayo.”
"Isau akaenderera mberi achiti: “Ndava kufa nenzara, udangwe hunondibatsireiko?”",Esau nowachone niya: “Bedona wuoyi makayo biro konya gi ang’o ka kech nega kama?”
"Jakobho akati: “Tanga wandipikira!” Saka akamupikira, akatengesera Jakobho kodzero yake yeudangwe.","Jakobo nodwoke niya: “Kuong’rina mondi, ni ibiro yiena kawo kari kaka wuoyi makayo.” Mi Esau nokuong’orene."
"Jakobho akabva apa Isau chingwa nenyemba, uye akadya akanwa, akabva asimuka akaenda. Saka Isau akazvidza udangwe hwake.","Eka Jakobo nomiye makate gi dengu kendo ka ne osechiemo mometho, nowuok modhi. Omiyo, Esau nochayo pokne kaka wuoyi makayo."
"Panyika pakava nenzara, kuwedzera panzara iya yakamboitika mumazuva aAbrahamu, zvekuti Isaka akaenda kuGerari kuna Abhimereki, mambo wevaFiristiya.","Kendo kech ne nitie e piny mopogore gi kech ma ne nitie e ndalo Ibrahim. Omiyo, Isaka ne odhi e piny Gerar ir Abimelek ruodh Filistia."
Jehovha akabva azviratidza kwaari akati: “Usaenda kuIjipiti. Gara munyika yandinokusarudzira.,Eka Jehova Nyasaye ne ofwenyorene mowachone niya: “Kik idhi e piny Misri. To dhi idag e piny ma abiro nyisi.
"Gara munyika ino semutorwa, uye ndicharamba ndiinewe, ndichikukomborera nekuti ndichapa iwe nemwana wako nyika dzese idzi, uye ndichazadzisa zvandakapikira baba vako Abrahamu ndichiti:","Dag adaga e pinyni kaka wendo, eka anabed kodi kendo abiro guedhi. Nikech anamiyi pinyni duto kaachiel gi nyikwayi, kendo anachop singruok ma natimo gi Ibrahim wuonu, ka nanyise ni,"
"‘Ndichaita kuti vana vako vawande senyeredzi dzekudenga; uye ndichapa mwana wako nyika dzese idzi; marudzi ese epanyika achawana makomborero nekumwana wako,’","‘Anami kothi obed mang’eny kaka sulwe manie polo, kendo anamigi pinjegi duto. Kendo kothi e ma nomi ogendni duto mag piny oyud gueth.’"
"nekuti Abrahamu akateerera inzwi rangu, akaramba achiita zvandinoda, achichengeta mirayiro yangu, mirau yangu, nemitemo yangu.”","Anaguedhi kamano nikech Ibrahim ne owinjo dwonda, nomako chikena, gi buchena, kendo nowinjo wachna.”"
Saka Isaka akaramba achigara kuGerari.,"Omiyo, Isaka nodhi nyime dak e piny Gerar."
"Varume vemunzvimbo yacho pavaimubvunza nezvemudzimai wake, iye aiti: “Ihanzvadzi yangu.” Aitya kutaura kuti, “Mudzimai wangu,” nekuti aiti, “Varume venzvimbo yacho vangangondiuraya kuti vatore Ribheka,” nekuti akanga akanaka.","Jo pinyno ne siko penjo Isaka ka be Rebeka ne en chiege. To ne ojawachonegi ni Rebeka ne en nyamin-gi, ne oparo ni ginyalo nege kowacho ni Rebeka en chiege nikech ne ojaber ahinya."
"Agara ikoko kwenguva yakati rebei, mumwe musi Abhimereki, mambo wevaFiristiya, akanga akatarisa nepahwindo akaona Isaka achiratidza Ribheka mudzimai wake rudo.","Chieng’ moro bang’ ka ne gisedak kuno kuom kinde moko, Abimelek ruodh Filistia ne ong’icho gie dirisa mi oneno ka Isaka tugo gi Rebeka."
"Abhimereki akabva ashevedza Isaka akati: “Zvaari mudzimai wako wani! Sei wakati, ‘Ihanzvadzi yangu’?” Isaka akamupindura kuti: “Ndakazvitaura ndichitya kuti zvimwe ndingaurayiwa pamusana pake.”",Eka ne oluongo Isaka mopenje niya: “Kare dhakoni en chiegi? To ang’o momiyo ne iwachonwa ni en nyaminu?” Isaka ne odwoke niya: “Ne aluor ni jo pinyni nyalo nega ka giwinjo ni en chiega.”
Asi Abhimereki akati: “Chii ichocho chawakatiitira? Handiti mumwe munhu anga achatorara nemudzimai wako ukatiunzira mhosva!”,"To Abimelek nomedo penje niya: “Ang’o ma isetimonwani? Ka dine ng’ato e kindwa onindo gi chiegi, donge dine imiyo wabedo joketho?”"
Abhimereki akabva audza vanhu vese kuti: “Munhu anobata murume uyu nemudzimai wake chokwadi achaurayiwa!”,Eka Abimelek ne ochiko joge duto niya: “Ng’ato ang’ata ma omulo Isaka kata chiege ibiro negi.”
"Isaka akatanga kudyara mbeu munyika iyoyo, uye gore iroro akakohwa zvaakanga adyara zvapetwa kane zana, nekuti Jehovha aimukomborera.","E higano Isaka ne ochako pur e pinyno, mi ne okayo cham moloyo ma nochuoyo nyadi 100, nikech Jehova ne guedhe."
"Murume wacho akava mupfumi, akaramba achingowedzera kupfuma kusvikira ava nepfuma yakawandisa.",Mwandune nomedore mi omewo ahinya.
"Akava nemakwai nemombe zvakawanda nevaranda vakawanda, zvekuti vaFiristiya vakatanga kuchiva zvinhu zvake.","To nyiego ne omako Jo-Filistia nikech Isaka ne nigi rombe, gi dhok, gi jotich mang’eny."
Saka vaFiristiya vakatora ivhu vakafushira matsime ese akanga acherwa nevaranda vababa vake mazuva aAbrahamu.,"Kuom mano, Jo-Filistia ne okawo lowo mi gidino sokni duto ma jotich Ibrahim wuon Isaka ne okunyo."
"Abhimereki akabva ati kuna Isaka: “Ibva munzvimbo yedu, nekuti wava nesimba kwazvo kutipfuura.”","Bang’ mano, Abimelek ne owacho ne Isaka niya: “Dar ia e alworawa, nimar isebedo gi teko moloyowa.”"
"Saka Isaka akabva ipapo, akadzika musasa mubani reGerari, akatanga kugara imomo.","Omiyo, Isaka ne owuok kanyo modhi dak e hoho mar Gerar."
"Isaka akacherazve matsime akanga acherwa mazuva ababa vake Abrahamu akazofushirwa nevaFiristiya pakafa Abrahamu, uye akaatumidza mazita aakanga atumidzwa nababa vake.","Isaka ne ochako okunyo sokni ma ne osekuny ndalo Ibrahim wuon mare, kendo ma Jo-Filistia ne osedino bang’ tho Ibrahim, mi ne oluongogi gi nyinge ma wuon mare ne ochakogi chon."
"Varanda vaIsaka pavaichera mubani racho, vakawana tsime rine mvura inonwika.","Ka ne jotich Isaka kunyo sokni e hohono, ne giyudo soko moro ma ne nigi pi maler."
"Vafudzi vekuGerari vakatanga kupopotedzana nevafudzi vaIsaka, vachiti: “Mvura yacho ndeyedu!” Saka akatumidza tsime racho kuti Eseki, nekuti vakanga vapopotedzana naye.","To jokwath ma Jo-Gerar nolaro pigno gi jokwadh Isaka, ka giwacho niya: “Pigni en marwa.” Omiyo, Isaka nochako nying sokono ni Esek nikech jogo nodhawo kode."
"Vakatanga kuchera rimwezve tsime, vakatanga kupopotedzana nezvaro. Saka akaritumidza kuti Sitna.","Eka jotichne nokunyo soko moro, to kanyo bende ne gidhawoe, mi nochako nyinge ni Sitna."
"Akazobva ipapo ndokuchera rimwe tsime, asi havana kupopotedzana nezvaro. Saka akaritumidza kuti Rehobhoti akati: “Nekuti Jehovha azotipa nzvimbo yakakura uye aita kuti tiwande panyika.”","Bang’e, nodar oa kanyo mokunyo soko machielo, to mano ne ok gilaro. Kuom mano, nochako nying sokono ni Rehoboth, mowacho niya: “Koro Jehova osemiyowa ka malach moromowa, kendo osemiyo wamedore e pinyni.”"
Akabva ipapo akaenda kuBheeri-shebha.,"Eka Isaka nodar kanyo, mi odhi Beer-sheba."
"Jehovha akazviratidza kwaari usiku ihwohwo akati: “Ndini Mwari waAbrahamu baba vako. Usatya, nekuti ndinewe, ndichakukomborera uye ndichaita kuti mwana wako ave nevazhinji vachabva kwaari pamusana pemushumiri wangu Abrahamu.”",To chieng’no gotieno Jehova ne ofwenyorene mowachone niya: “An e Nyasach Ibrahim wuonu. Kik iluor nikech an kodi. Abiro guedhi kendo abiro miyi nyikwayo mang’eny nikech singruok ma ne atimo gi Ibrahim jatichna.”
"Saka Isaka akavaka atari ipapo akadana zita raJehovha. Uye akadzika tende rake ipapo, vashandi vake vakachera tsime ipapo.","Kuom mano, Isaka nogero kendo mar misango kanyo mi nopako nying Jehova. Nodak kuno kendo jotichne nokunyo soko moro kuno."
"Abhimereki akazouya kwaari achibva kuGerari nachipangamazano wake Ahuzati, naFikori mukuru weuto rake.","Bang’e, Abimelek noa Gerar gi Ahuzath jang’adne rieko kod Fikol jatend jolweny mi gidhi ir Isaka."
"Isaka akati kwavari: “Mavingei kwandiri, imi maindivenga mukandidzinga munzvimbo yenyu?”",Isaka nopenjogi niya: “Ang’o momiyo ubiro ira to e ndalo ma ne adak e pinyu ne ok udwara kendo ne uriemba?”
"Ivo vakati: “Tanyatsoona kuti Jehovha anewe. Saka tafunga kuti titi kwauri, ‘Tiri kukumbirawo kuita mhiko newe isingazoputswi, uye kuita sungano newe","To ne gidwoke niya: “Koro waseneno maler ni Jehova ni kodi. Omiyo, waseng’ado kama: ‘Watim kodi winjruok, kendo isingrinwa"
"yekuti hauzotiitiri zvakaipa sezvo isu tisina kukurwisa, nekuti takakuitira zvakanaka chete pakuti takakurega uchienda nerugare. Tiri kuona kuti ndiwe uri kukomborerwa naJehovha.’”",ni ok inihinywa mana kaka wan bende ne ok wahinyi. Ne watimoni maber mi ne ia gi kuwe kendo koro Jehova oseguedhi.’”
"Akabva avaitira mabiko, vakadya uye vakanwa.","Kuom mano, Isaka ne olosonegi chiemo mi ne gichiemo kendo gimetho."
"Mangwana acho vakafumomuka vakapikirana. Isaka akazoonekana navo, vakaenda nerugare.","Kinyne gokinyi, ne gia malo mi gitimo singruok gi Isaka. Bang’ mano, Isaka noweyogi mi ne gidhi gi kuwe."
"Zuva iroro varanda vaIsaka vakauya vakamuudza nezvetsime ravakanga vachera, vakati kwaari: “Tawana mvura!”",Chieng’no e ma jotich Isaka nobiro ire monyise ni gisekunyo soko mi giyudoe pi.
Saka akaritumidza kuti Shibha. Ndokusaka nanhasi guta racho richinzi Bheeri-shebha.,"Omiyo, nochako nying sokono ni Shiba. Mano e momiyo taondno pod iluongo ni Beer-sheba nyaka chil kawuono."
"Isau paakanga ava nemakore 40, akatora Judhiti mwanasikana waBheeri muHiti kuti ave mudzimai wake, akatorawo Bhasemati mwanasikana waEroni muHiti.","Ka ne Esau jahigni 40, ne okendo Judith nyar Beeri ma Ja-Hiti kod Basemath nyar Elon ma bende ne Ja-Hiti."
Vairwadzisa Isaka naRibheka zvikuru.,Wachno ne ochando chuny Isaka gi Rebeka ahinya.
"Isaka paakanga akwegura, maziso ake asisanyatsooni, akashevedza Isau mwanakomana wake mukuru akati kwaari: “Mwanakomana wangu!” Akadavira achiti: “Ndiri pano!”","Chieng’ moro ka koro Isaka noseti mi obedo muofu, ne oluongo wuode makayo ire, mowachone niya: “Esau wuoda!” Esau nodwoke niya: “Antie.”"
Akabva ati: “Iye zvino ndachembera. Handizivi zuva rekufa kwangu.,Eka Isaka nowachone niya: “Aseti kendo anyalo tho sa asaya.
"Saka tora zvombo zvako, uta nemiseve, uende kunondivhimira mhuka musango.","Omiyo, kaw atung’ gi asere mondo idhi e thim inegna le."
"Ibva waigadzira sezviya zvandinofarira, wondiunzira, ndidye, kuti ndikukomborere ndisati ndafa.”","Kae to itedna ring’o mamit kaka aherogacha, mondo ikelna acham, kendo anaguedhi ka pok atho.”"
"Zvisinei, Ribheka akanga akateerera paitaura Isaka naIsau mwanakomana wake. Isau akaenda kusango kunovhima mhuka kuti auye nayo.","To Rebeka nowinjo ka Isaka wuoyo gi wuode Esau. Omiyo, ka ne Esau osedhi dwar,"
"Ribheka akati kuna Jakobho mwanakomana wake: “Ndanzwa baba vako vachitaura naIsau mukoma wako, vachiti,",noluongo Jakobo wuode mowachone niya: “Awinjo ka wuonu wacho ne Esau owadu ni
"‘Ndiunzire nyama yemhuka undigadzirire zvekudya zvinonaka, ndidye, kuti ndikukomborere pamberi paJehovha ndisati ndafa.’","odhi onegne le kae to otedne ring’o mamit ocham, kendo obiro guedhe e nyim Jehova ka pok otho."
"Saka nyatsoteerera mwanangu, woita zvandiri kuda kukuudza.","Kuom mano, wuoda, yie iwinj gima awachoni."
"Enda kuzvipfuwo unonditorerawo mbudzi diki mbiri dzakakora, kuti ndigadzirire baba vako zvekudya zvinonaka zvavanofarira,","Dhi e kueth ikelna nyidiek ariyo mopugno, mondo ated ne wuonu ring’o mamit kaka oheroga,"
"woenda nazvo kuna baba vako kuti vadye, vakukomborere vasati vafa.”",kendo iterne ocham mondo oguedhi ka pok otho.”
"Jakobho akati kuna Ribheka amai vake: “Isau mukoma wangu murume ane mvere, asi ini handina.",To Jakobo nowachone min-gi niya: “Esau en ng’ama rayier to an denda poth.
"Ko kana baba vakandibata muviri wangu? Ndichabva ndaonekwa sendiri kuvaita benzi, zvekuti vachabva vandituka pane kundikomborera.”","Donge wuonwa nyalo mula mi ofweny ni awuonde, kae to okuong’a kar mondo oguedha?”"
"Amai vake vakabva vati kwaari: “Kutukwa kwaifanira kuuya pauri ngakuuye pandiri, mwanangu. Ingoteerera zvandiri kukuudza uende, unotora zvandataura.”","To min-gi nodwoke niya: “We mondo kuong’no omaka wuoda, in to dhi iomna nyidiekgo mana kaka asewachoni.”"
"Saka akaenda, akanotora mbudzi dziya, akauya nadzo kuna amai vake, uye amai vake vakagadzira zvekudya zvinonaka zvinofarirwa nababa vake.","Omiyo, Jakobo nodhi mokelo nyidiek kendo min-gi notedo ring’o mamit mana kaka Isaka nohero."
"Ribheka akabva atora nguo dzakanakisisa dzaIsau mwanakomana wake mukuru, dzaaiva nadzo mumba, akadzipfekedza Jakobho mwanakomana wake mudiki.",Eka Rebeka nokawo lep Esau mabeyo ma ne en-go e ot mi orwakone Jakobo.
Akaisawo matehwe embudzi dziya pamaoko ake nemumutsipa make makanga musina mvere.,Nokawo bende piende diegego ma uomogo bede Jakobo kod ng’ute ka ma ne onge yier.
Akabva apa Jakobho mwanakomana wake zvekudya zvacho zvinonaka nechingwa zvaakanga agadzira.,Eka nomiye ring’o mamitno gi makate ma nosetedo.
Saka Jakobho akapinda maiva nababa vake akati: “Baba!” ivo vakati: “Ndiri pano! Ndiwe ani mwanangu?”,"Jakobo nodhi ir wuon-gi moluonge ni, “Wuora!” mi wuon-gi nodwoke ni, “Antie! To in ng’a?”"
"Jakobho akati kuna baba vake: “Ndini Isau dangwe renyu. Ndaita zvamati ndiite. Chimukai mugare, mudye nyama yemhuka yandauya nayo, kuti mundikomborere.”",Jakobo nodwoke niya: “An Esau wuodi makayo. Asetimo kaka ninyisa. Koro chung’ icham ring’o ma asekeloni mondo iguedha.”
Isaka akabva ati kumwanakomana wake: “Waiwana sei nekukurumidza kudaro mwanangu?” Akapindura kuti: “Jehovha Mwari wenyu aiunza kwandiri.”,Isaka nopenjo wuode niya: “To iduogo piyo manadeni? Jakobo nodwoke niya: “Jehova Nyasachi nokonya ma amako leno piyo.”
"Isaka akabva ati kuna Jakobho: “Swedera pedyo mwanangu, ndikubate muviri wako, ndinzwe kana uri mwanakomana wangu Isau zvechokwadi kana kuti kwete.”",Eka Isaka nowacho ne Jakobo kama: “Sud machiegni amuli mondo ang’e ka be adier in Esau wuoda.”
"Saka Jakobho akaswedera pedyo naIsaka baba vake, vakamubata, ndokuti: “Inzwi, inzwi raJakobho, asi maoko, maoko aIsau.”","Jakobo nosudo machiegni gi wuon-gi, kendo wuon-gi nomule mowachone niya: “Dwondi chalo gi dwond Jakobo to lweti chalo gi lwet Esau.”"
Havana kumuziva nekuti maoko ake akanga aine mvere seaIsau mukoma wake. Saka vakamukomborera.,"Ne ok ofwenyo ni en Jakobo nikech bedene notimo yier ka mag Esau. Omiyo, ne oguedhe."
Pashure paizvozvo vakati: “Ndiwe mwanakomana wangu Isau zvechokwadi here?” iye akapindura kuti: “Ndini.”,"Bang’ mano, nopenje kendo niya: “In Esau wuoda adier?” To Jakobo nodwoke ni, “Ee, an Esau.”"
"Vakabva vati: “Ndipe nyama yacho yemhuka ndidye, mwanangu, ndobva ndakukomborera.” Akabva avapa, vakadya, uye akavaunzira waini vakanwa.","Eka Isaka nowachone niya: “Wuoda, koro miya ring’o acham mondo aguedhi.” Mi Jakobo nomiye ring’o mochamo kendo nomiye divai momadho."
"Baba vake Isaka vakabva vati kwaari: “Swedera hako pedyo mwanakomana wangu, unditsvode.”",Eka wuon-gi nowachone niya: “Sud machiegni wuoda mondo inyodha.”
"Saka akaswedera pedyo, akavatsvoda, vakanzwa kunhuhwirira kwenguo dzake. Vakabva vamukomborera vakati: “Inzwa kunhuhwirira kwemwanakomana wangu kwakaita sekunhuhwirira kwesango rakakomborerwa naJehovha.","Omiyo, nosudo machiegni monyodhe kendo nowinjo tik lepe. Eka noguedhe kowacho kama: “Tik wuoda mang’we mamitni chalo gi tik puodho ma Jehova oseguedho."
"Mwari wechokwadi ngaakupe dova rekudenga, nevhu rakaorera repanyika, nezviyo zvizhinji, newaini itsva yakawanda.",Nyasaye mondo okelni tho moa e polo mondo puotheni obed momewo kendo iyud cham gi divai mogundho.
"Marudzi ngaakukotamire uye nyika ngadzikushandire. Iva tenzi wehama dzako, uye vanakomana vaamai vako ngavakukotamire. Munhu wese anokutuka, ngaatukwe, uye munhu wese anokukomborera ngaakomborerwe.”","Ogendni duto mondo otini kendo okulreni. Bed ruodh oweteni kendo owetenigo mondo okulreni. Ibiro kuong’ ng’ato ang’ata ma kuong’i, kendo ibiro guedh ng’ato ang’ata ma guedhi.”"
"Isaka achingopedza kukomborera Jakobho, uye Jakobho achingobva pamberi pababa vake Isaka, Isau mukoma wake akabva asvika achibva kunovhima.","Koro, ka ne Isaka osetieko guedho Jakobo kamano, Jakobo nowuok, to gie sechego bende e ma Esau owadgi noduogo koa dwar."
"Iyewo akagadzira zvekudya zvinonaka, akaenda nazvo kuna baba vake, akati kuna baba vake: “Baba mukai mudye nyama yemhuka yauya nemwanakomana wenyu, kuti mundikomborere.”","En bende notedo chiemo mamit motero ne wuon-gi, kendo nowachone niya: “Wuora, yie ichung’ mondo icham ring’o ma asekeloni kendo iguedha.”"
"Baba vake Isaka vakabva vati kwaari: “Ndiwe ani?” Iye akati: “Ndini mwanakomana wenyu, dangwe renyu, Isau.”","Isaka nopenje niya: “In to in ng’a?” Nodwoke ni, “An Esau, wuodi makayo.”"
"Isaka akatanga kudedera kwazvo, akati: “Saka ndiani avhima nyama yemhuka akandivigira? Ndatoidya usati wasvika, uye ndamukomborera uye zvechokwadi achava akakomborerwa!”","Isaka nobwok mochako tetni mopenje niya: “To kare en ng’ano ma nonego le mokelonacha? Asechamo chiembeno mi aguedhe ka pok ibiro, kendo guethno biro siko!”"
"Paakanzwa mashoko ababa vake, Isau akazhamba achiratidza kurwadziwa, akati kuna baba vake: “Ndikomborerei neniwo baba!”","Ka ne Esau owinjo kamano, noywak matek kendo malit ahinya mowacho niya: “Wuora, an bende guedha!”"
Asi vakati: “Munin’ina wako auya akandinyengera kuti awane chikomborero changa chiri chako.”,"To Isaka nodwoke niya: “Owadu nobiro mi owuonda, koro osekawo guethni.”"
"Iye akabva ati: “Ndokusaka achinzi Jakobho. Handiti akanditorera nzvimbo yangu kaviri kese? Akatora kare kodzero yangu yeudangwe, uye iye zvino atora chikomborero changu!” Akabva atizve: “Hamuna kundisiyirawo here chikomborero?”","Eka Esau nowacho niya: “Donge mano e momiyo nochake ni Jakobo? Nimar osewuonda diriyo, mokwongo nokawo kara kaka wuoyi makayo kendo koro osemaya gueth!” Kae to nopenjo wuon-gi niya: “To onge gueth moro amora ma ikanona?”"
